artistid,artistname,genre
6ZhjJOJXXwnPS8PrXdmjLw,UGK,Hip Hop
5cMgGlA1xGyeAB2ctYlRdZ,Gang Starr,Pop
4Otx4bRLSfpah5kX8hdgDC,Naughty By Nature,Pop
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,Pop
7yk35uHNQclPXFGFoTU44w,The Pharcyde,Pop
55Pp4Ns5VfTSFsBraW7MQy,Skee-Lo,Hip Hop
2WKdxPFRD7IqZvlIAvhMgY,Fugees,Pop
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,Hip Hop
7wqtxqI3eo7Gn1P7SpP6cQ,Salt-N-Pepa,Pop
33JfM2NgTRFT9wMoQvcv6T,Talent,Pop
0iVrCROxeyon7MZUW3MfzT,Montell Jordan,Hip Hop
2Xu7q46Hf02xOoEIm4E1Qs,Big Pun,Pop
3zTOe1BtyTkwNvYZOxXktX,Joe,Pop
30fiiwr2EeZp1tAhzYCmyM,Big L,Hip Hop
0b2XeWDPeBiLeskT6RFqMb,DJ Quik,Hip Hop
4XqfpACObRB5AsBcUYjL8X,MC Eiht,Hip Hop
4akj4uteQQrrGxhX9Rjuyf,Craig Mack,Hip Hop
1P8IfcNKwrkQP5xJWuhaOC,LL COOL J,Hip Hop
6edzoyx2aOvZpdFeCCWU1t,Rampage,Hip Hop
19KwjzvIL92r29IINtlPNP,Scarface,Hip Hop
0kJMPTXq7h3ztpDukSx5iD,Pras,Hip Hop
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,Pop
5ZS223C6JyBfXasXxrRqOk,Jhen Aiko,Hip Hop
6UBA15slIuadJ8h2lPRPos,Tech N9ne,Pop
1A8NEJYo3VW9aIZ6l55Dgu,Joey Cool,Hip Hop
7vTyZmNA6LC0WRDg7V6yle,King Iso,Hip Hop
1T8S48bD91THNKBByWBDyn,Dwayne Johnson,Pop
12ceFY8dHtc9XsIknO45Pa,Bizzy,Pop
3SEJQy90Vgg1aSnZ9b4AU9,Krizz Kaliko,Pop
4UOlRVifrFdQHW9qu5ep8t,Tech N9ne Collabos,Pop
34HqoZgb2U7YmhPyhJX2Df,Makzilla (816 Boyz),Pop
78nL8LitGR7vO0qp2iZF9E,Kutt Calhoun,Hip Hop
2P3cjUru4H3fhSXXNxE9kA,Blackstreet,Pop
0VbIlorLz3I5SEtIsc5vAr,Queen Pen,Hip Hop
4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,Pop
4fbyGOEjViyE97W58eGEgU,MC Ren,Pop
23Ul4QNOkm2gasKycag0UK,O.G.L.B.,Hip Hop
2LiWxiQzuD9nmWQ6NCA8Gd,B-Real,Hip Hop
1uT0jnwsq3AifrLorG4UDt,Rah Digga,Hip Hop
0mbgkaYR8KNUb5s3s1yYHG,Papoose,Hip Hop
15qg3Tr23aMVGAruYtlMdg,Mike Shorey,Pop
5wBDD4FNJvob5fAGkAIQ92,Lil' Mo,Hip Hop
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,Hip Hop
1BH45DVSTeGBvcYXNCd67g,M.O.P.,Pop
7362Tj1IkoHp7oWveGTf51,Teflon,Hip Hop
7MseR8aIHbFMXzMAkRPCZy,Remi Martin,Hip Hop
6jrgYc3KgJPqieNGFt0O3m,Yaki Kadafi,Pop
7Kk52c4QPzzgXzsrce4rSF,Fatal,Pop
7zICaxnDB9ZprDSiFpvbbW,Master P,Hip Hop
3uISNNuONokIh21KiNharS,Butch Cassidy,Pop
51FyBBOW464toW099BsW8z,Tha Eastsidaz,Hip Hop
0I5HubncQ8E1MFZOlPDY4J,Trinidad James,Hip Hop
5M0lbkGluOPXLeFjApw8r8,DRAM,Pop
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,Hip Hop
04gDigrS5kc9YWfZHwBETP,Maroon 5,Hip Hop
6hSbppor1AmH9RGzyxOcGT,Chevy Woods,Pop
3hm1hqVd38xKA7iXjVJvo9,Juciy J,Pop
13saZpZnCDWOI9D4IJhp1f,Lily Allen,Hip Hop
6KZDXtSj0SzGOV705nNeh3,Kid Ink,Hip Hop
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,Hip Hop
7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf,Pop
1Wnfj5qZsp8nPsGBBRRa4W,Monty,Pop
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,Hip Hop
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,Pop
31HjiqargV4NAw4GZqUale,Ace Hood,Hip Hop
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,Pop
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,Hip Hop
6NzM38IkXdbQsQ4qW9CG7z,Amil,Pop
1zV9UjTUevjp5VUddqIUUn,Mr Hudson,Hip Hop
3QJzdZJYIAcoET1GcfpNGi,Damian Marley,Hip Hop
4R529xQ7WQfRpSEXaHFbRg,InfaRed,Pop
5jj4cGOD1zVS6rWjK9Zzmi,Dre,Pop
2mpeljBig2IXLXRAFO9AAs,Dido,Pop
4AA474G2hRfrHyGrfyDseO,Mozzy,Hip Hop
5jNmxPYz8QE5rYp4GDil8t,Dina Rae,Hip Hop
79Pqjevn76nsm1KiEgWuyS,Eastside Boyz,Pop
3r17AfJCCUqC9Lf0OAc73G,Fergie,Hip Hop
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,Pop
4yt2wdqvcHygghx9iNUb6i,DJ Frank E,Pop
6MF9fzBmfXghAz953czmBC,Taio Cruz,Hip Hop
12FHARd9fY0Tu0ila4Ua25,Trick Daddy,Hip Hop
5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green,Pop
4PY2b4x0BfB6srqUxCWLPo,Will Lean,Pop
0jslZSHX4gukh5miuzDJPj,Yung Redd,Hip Hop
0PHPjHrN5AXFHtGOEPWH5h,The Clover G's,Hip Hop
2I1bnmb9VQEQGKHxvr0gSf,Da Brat,Hip Hop
7352aRY2mqSxBZwzUb6LmA,Bow Wow,Pop
7yCSZNIAKQFU76UWGU1miJ,The Kid Slim,Pop
7ukrcAW5l9WWpB4vm7gP7C,C. Harris,Hip Hop
2cADQgiLMjNhbsfeN52Bf3,Swizz Beatz,Pop
3ZooCJzNMTLpmJaIRUEorI,Young Dro,Hip Hop
3Y365ZqTf6fJ4ZcRnLKPGt,Gorilla Zoe,Pop
3LDPj7VvzvMY7nNgXQ6Yhy,Big Block,Pop
4Yj490bi1KL0QpDnVOtHyr,Big Moe,Pop
0LFWRTqrlRmWoPZ80K8gZY,"Brandy ""Ms. B"" Hambrick",Pop
27FGXRNruFoOdf1vP8dqcH,Cassie,Pop
3jahzTuztFVegfKXChatkY,Trillville,Pop
3jhkLfgJKRu9Lb0AQd7fkB,Cutty,Pop
5A7d4sfe5ZY1RRf90zlUeo,Crime Mob,Hip Hop
42FIRHOimDjc3uQrjxuEFh,DJ Storm,Pop
1jefvRyDycN96WPOEczPUg,Desert Storm South,Pop
1fQ46lgoUCz8FVXdTVNk0a,Hurricane Chris,Pop
4VwTk6OnuwshfqQlxOv7Xy,Superstarr,Hip Hop
2h1hD8R5Y4eaxsL80EKiPm,Big Poppa,Pop
2UtIeAxtrsrRM0sV7Q8cJm,HollyHood Bay Bay,Pop
2N4EYkIlG1kv25g6Wv8LGI,Killer Mike,Hip Hop
1J6iGa2TNBDCrJzjsnI1a8,Big Pokey,Pop
1grI9x4Uzos1Asx8JmRW6T,Lil' Keke,Pop
01ZpL2TZ4QxYNDLc70RIiT,Ali & Gipp,Pop
7v9bFXCdSMA2o3gS4nvp0F,Pimp C,Pop
26VFTg2z8YR0cCuwLzESi2,Halsey,Hip Hop
6y5amJcTjeDgLXIjtQLMst,SAYGRACE,Pop
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,Hip Hop
6LuN9FCkKOj5PcnpouEgny,Khalid,Hip Hop
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Hip Hop
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Pop
5T0MSzX9RC5NA6gAI6irSn,Estelle,Pop
7u6LfVyYpEzMpHLL7jTyvU,Dwele,Hip Hop
1lE6SEy8f84Zhjvp7r8yTD,Syleena Johnson,Pop
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,Pop
2MGT7CYlixSPxAnnkhLpaA,Next,Pop
3ufE7FlElQOONgUc47xWqC,Asher Roth Prod. By Kanye West,Hip Hop
2GHclqNVjqGuiE5mA7BEoc,Common,Hip Hop
7FAkzV0YOw0EIXFhmY4RE3,Jermaine Stewart,Hip Hop
18cKAvtug3pr3IFCRyOaTc,Calimar White,Pop
6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,Pop
0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash,Hip Hop
67nwj3Y5sZQLl72VNUHEYE,Wale,Hip Hop
6TIYQ3jFPwQSRmorSezPxX,mgk,Hip Hop
2cFrymmkijnjDg9SS92EPM,blackbear,Pop
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,Hip Hop
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,Hip Hop
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,Hip Hop
2NjfBq1NflQcKSeiDooVjY,Tones And I,Pop
3tVQdUvClmAT7URs9V3rsp,Wizkid,Hip Hop
77DAFfvm3O9zT5dIoG0eIO,Kyla,Pop
09LlecobtUel9NZrpJnHVr,The Crooklyn Clan,Hip Hop
0LlPal5iJGcCWwZp8VefVs,City High,Hip Hop
6x9QLdzo6eBZxJ1bHsDkjg,Sisqo,Pop
58Dx4HPzeOO3dbpD9YYEes,2 LIVE CREW,Pop
7qeBsFLeNEuzrDhDMbnDwF,69 Boyz,Hip Hop
36HvjE9pV91jEjO1qBRidS,B.G.,Pop
2zFZiWQJFFshzojycnXoTL,Bell Biv DeVoe,Hip Hop
62sPt3fswraiEPnKQpAbdE,Bobby Brown,Hip Hop
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,Hip Hop
36eSjIksD6fehqxyDUHDA3,Chris Rock,Pop
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,Hip Hop
7jocoSCuCtpCxCI6IbP8ye,Digital Underground,Hip Hop
1mG23iQeR29Ojhq89D5gbh,DJ Jazzy Jeff & The Fresh Prince,Hip Hop
1SWGyp2nxNSyQkRX1eqoUp,DJ Kool,Hip Hop
5fikk4h5qbEebqK2Fc6e48,En Vogue,Pop
0LthCv77K8NqLKr8B6266a,Freak Nasty,Hip Hop
4JbmXqez7WvTggoxn3UpVT,Ghost Town DJs,Pop
1VJspRsoC6c0bvqhnSiFCs,Ini Kamoze,Hip Hop
0rlS0SzVFk8BoiAW0fGBbN,Salaam Remi,Pop
2zrZfs23sjuHDv4E6YRmNf,Kris Kross,Pop
2rblp9fJo16ZPTcKDtlmKW,MC Hammer,Pop
6x6uPE0uEpYM8Se3v7kR3H,Saja,Pop
1HvYwEbfOUhm2F4g9nH0vP,Joey Galaxy,Pop
5NcqAwqk3mELiNyKfGjajY,Shawt Dawg,Pop
3sMYEBy0CZFxedcnm9i9hf,Frankie J,Pop
31IZdHrCZ5pRhLz4zBxN3o,Riff Raff,Hip Hop
4xZDgDbs4eQcpauHyyip0I,Dirt Nasty,Pop
78H9JWwoJyLPkwYylZkmtF,Andy Milonakis,Hip Hop
3Vr9XbwWLsVhiVsyRE9OTn,Three Loco,Hip Hop
5gj8E4JhsoEQDAR5fzXwKk,Greekgodx,Hip Hop
46lnlnlU0dXTDpoAUmH6Qx,Lou Bega,Hip Hop
2YOYua8FpudSEiB9s88IgQ,Yung Gravy,Hip Hop
56oDRnqbIiwx4mymNEv7dS,Lizzo,Pop
1kwi1Q7X4jPTkHTgayxKhS,Alonestar,Pop
0hfAzw4HfebJxXuLgICOnV,Jethro Sheeran,Pop
2W8yFh0Ga6Yf3jiayVxwkE,Dove Cameron,Pop
6s22t5Y3prQHyaHWUN1R1C,AJR,Pop
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,Hip Hop
6eKnu1zdyGFkN9Jk5bbgcd,Boote Gang,Hip Hop
5Y8EphH8Vdqu5SLj6K5vjj,Tone-Loc,Hip Hop
6quCxsPM8fOxowmqOx5j93,Dylan Sitts,Pop
7nE3HHVn8oM8s3kA6cbL8O,HDBeenDope,Pop
1wUmdemiR9Dxw8A2el365A,Stalley,Hip Hop
3y24n3XhZ96wgwRXjvS17T,Coolio,Pop
2LhsePRtgCo4THVKULQBL7,L.V.,Pop
72bxObYyl8z5bNQ2XVM6nO,G-Lu,Hip Hop
2fMoLS93nKWG1pXcVR4SzA,Goast,Hip Hop
5sWHDYs0csV6RS48xBl0tH,Two Feet,Pop
1wgA2r904nqkOgBk3QU4S4,Mr. Bigg,Pop
33C3ByGk9NCrjTIXr6npqf,Lyfe Jennings,Hip Hop
22wbnEMDvgVIAGdFeek6ET,Benson Boone,Pop
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,Hip Hop
2wY79sveU1sp5g7SokKOiI,Sam Smith,Hip Hop
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,Hip Hop
7AgS2ycsLUG0NPTY1AAboT,Mark Mendy,Hip Hop
4lFWNwqQbywI4qCQ9PeL7V,Sb Mont,Hip Hop
3PhoLpVuITZKcymswpck5b,Elton John,Hip Hop
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Hip Hop
6n28c9qs9hNGriNa72b26u,PNAU,Pop
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,Hip Hop
2VSHKHBTiXWplO8lxcnUC9,GAYLE,Pop
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Pop
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Pop
7tYKF4w9nC0nq9CsPZTHyP,SZA,Hip Hop
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,Pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,Hip Hop
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,Pop
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Hip Hop
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Hip Hop
20s0P9QLxGqKuCsGwFsp7w,Mario,Pop
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,Pop
3FUY2gzHeIiaesXtOAdB7A,Train,Hip Hop
5y2Xq6xcjJb2jVM54GHK3t,John Legend,Hip Hop
0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,Pop
7hxNTCg7hYSsqx9uLeBdBV,Forgiato Blow,Hip Hop
10eviO408OwjmBlm05Vi1g,Bezz Believe,Hip Hop
21O7WwRkik43ErKppxDKJq,Lil Wyte,Hip Hop
4kKaAWGdu6WW0W415RWaQA,South Park Mexican,Pop
3IJ21966TwNZI24MwZHMu4,Baby Tate,Hip Hop
0dlDsD7y6ccmDm8tuWCU6F,Freddie Dredd,Pop
7I3bkknknQkIiatWiupQgD,Beach Weather,Hip Hop
25uiPmTg16RbhZWAqwLBy5,Charli XCX,Pop
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,Pop
26dSoYclwsYLMAKD3tpOr4,Britney Spears,Hip Hop
698hF4vcwHwPy8ltmXermq,Far East Movement,Hip Hop
7C64wNX3howEFZjAYRKsfP,The Cataracs,Pop
7Ip2u3e5Nv6fFb5xyIHxEE,DEV,Hip Hop
2jLE4BoXHriQ96JagEtiDP,Lauren Bennett,Pop
53sIBaVjXQhfH89Vu6nEGh,GoonRock,Pop
5WUlDfRSoLAfcVSX1WnrxN,Sia,Pop
6S0dmVVn4udvppDhZIWxCr,Sean Kingston,Hip Hop
4IJczjB0fJ04gs4uvP0Fli,Gym Class Heroes,Hip Hop
4bYPcJP5jwMhSivRcqie2n,Adam Levine,Hip Hop
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,Hip Hop
5iNrZmtVMtYev5M9yoWpEq,Seeb,Hip Hop
1Bo8Afb2Qbjs4x6kJHyjle,Gigamesh,Hip Hop
40giwFcTQtv9ezxW8yqxJU,Chiddy Bang,Hip Hop
6f0hUHWLOCxCSDQMtdVAS7,Shwayze,Hip Hop
23apFYuBTpFemqLDn8ViLW,Cisco Adler,Hip Hop
1ZKqrja0WvbSssYNFO3lzs,New Boyz,Pop
6gbGGM0E8Q1hE511psqxL0,Ray J,Hip Hop
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,Hip Hop
7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy,Hip Hop
25hbSOMmbhgqvonjC876UJ,Aer,Pop
1wgY8huggK60P5nvYrwcYT,Asher Roth,Pop
1gwTohHbTpE3qdPyDvnOEu,The Holdup,Hip Hop
546WiMGysEqWZTzP8hJvB2,Mickey Avalon,Pop
6lLYZf9GpSq6Pf09g2N2xK,Wreckx-N-Effect,Hip Hop
7zgtJuRm0JcJpPQRjCgXT7,N2DEEP,Pop
3TQ9JTBI2n2hfo7aRONEYV,Sir Mix-A-Lot,Pop
3NfJ6VPVz0lf3jWy5F1N7g,Tag Team,Hip Hop
10Khz9BDdDT2mzm3330Cvu,Onyx,Hip Hop
49AG5IHkJj7M5faSOVGVAW,Finatticz,Pop
4MIULe6tfg2loNzBy5B9eu,T-Wayne,Pop
3aGFCoR8xGN6DKwvdzeSja,ILOVEMAKONNEN,Pop
1EeArivTpzLNCqubV95255,Cali Swag District,Pop
7juKTDFlPesGeWQ1GmjmOv,Silent,Pop
27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,Hip Hop
6eBYLQONaYZhZNAVK061t6,Nina Sky,Hip Hop
3cbRMYnjXAwJYNzxy291JY,Jabba,Pop
4USNIVeRwXIAdbVSTqelbh,Jibbs,Pop
76RrKpsvOmSKG8CIjROdSG,MiMS,Pop
2B4ZTS4hFT3IrUFVPHjEmL,Brooke Hogan,Hip Hop
36ikBJX6oQWWlgrXCock30,Lady Sovereign,Pop
3v3clM1KQgVfpPjKJFPAmx,SHOP BOYZ,Pop
4gwpcMTbLWtBUlOijbVpuu,Capital Cities,Hip Hop
1VBflYyxBhnDc9uVib98rw,Icona Pop,Pop
25fqWEebq6PoiGQIHIrdtv,Baauer,Pop
3GsIlcwgQDJVjHD82mbA0Z,iLoveMemphis,Hip Hop
4u5smJBskI6Adzv08PuiUP,Kiiara,Hip Hop
2AXQzJRDvlJrq0fiVAnRy8,Lil' Romeo,Hip Hop
3q7isf09BuwXLyR2khBs60,Khia,Hip Hop
4jWGfUCFeTu5e0wprRhHXR,Big Tymers,Pop
